Emp ID,Name,DOB,SSN,State
158,Amy Ford,1974-06-05,002-25-6461,North Carolina
446,Benjamin King,1973-05-07,739-64-8165,Rhode Island
352,Stephen Bryant,1991-05-15,332-13-6488,South Dakota
598,Brandi Williams,1989-10-15,110-22-8500,Maryland
505,Ashley Hutchinson,1994-04-26,879-50-1510,South Carolina
173,Alisha Pacheco,1982-01-13,470-37-2496,Michigan
84,Robert Campbell,1973-02-27,278-32-9581,South Dakota
406,Sandra Sanders,1980-10-06,006-06-1673,Rhode Island
164,Katherine Hensley,1991-05-29,700-38-7226,Connecticut
267,Stacy Cox,1976-11-08,302-26-0990,Alabama
503,Frank Barton,1993-06-10,774-52-5568,Massachusetts
295,Shannon Kramer,1980-05-04,680-62-7615,South Carolina
590,Brenda James,1977-12-31,721-56-3251,Hawaii
97,Paula Edwards,1988-08-10,645-23-0638,Kansas
3,Jennifer Rowe,1980-09-16,801-60-9014,New York
20,David Foster,1990-01-09,365-26-6956,Missouri
179,William Boyle,1988-01-30,834-63-0490,Arkansas
86,Christopher Greene,1972-05-29,530-92-8446,Idaho
219,Matthew Fuller,1980-04-27,738-39-2989,Mississippi
237,Gabriela Nguyen,1981-12-17,075-73-3729,Washington
96,Allison Diaz,1994-03-25,281-52-8927,Arkansas
22,Isaac Jordan,1986-05-06,488-29-0520,Texas
439,Cheryl Bailey,1991-10-31,426-94-1224,North Carolina
146,Julie Castillo,1988-02-16,876-21-4523,Alaska
271,Michael Adams,1986-12-10,070-09-3927,Florida
103,Melinda Parsons,1986-02-07,600-90-8751,Nebraska
540,Robert Campbell,1987-01-17,368-69-3694,Delaware
144,Julie Nelson,1994-08-08,695-57-1332,South Dakota
594,Steven Nelson,1989-04-14,664-38-2085,Vermont
176,Hailey Lynn,1973-03-25,863-75-9488,California
198,Dillon Nguyen,1978-05-26,515-28-4552,Illinois
433,Hannah Miller,1973-10-18,710-61-4657,New York
274,Jeffrey Harris,1994-05-25,117-70-4763,Kentucky
6,Daniel Welch,1982-08-08,001-90-6950,Illinois
452,Bryan Jackson,1982-09-08,801-72-8117,Maryland
23,Denise George,1990-09-07,022-05-4879,Wisconsin
373,Alicia Carney,1989-09-10,568-83-9437,Ohio
374,William Peters,1986-03-20,716-80-7516,Kentucky
200,Dustin Drake,1993-09-17,257-73-5454,West Virginia
428,Jessica Thornton,1983-01-03,546-27-2381,Kansas
116,Rebecca Wilson,1980-06-08,760-70-6629,Michigan
418,Katherine Lane,1986-11-01,019-89-6820,New Hampshire
9,Sarah Harper,1993-07-27,824-14-5891,Alaska
230,Jermaine Hill,1988-09-11,126-49-5479,New Jersey
502,Michael Marshall,1990-04-05,118-93-5125,Michigan
632,Kirsten Mcbride,1973-09-10,797-71-2372,Iowa
112,Rachael Holmes,1973-07-30,096-04-2067,Georgia
422,Leon Foster,1975-09-19,413-38-3153,South Carolina
131,David Mcclain,1976-08-02,075-49-5430,Ohio
404,Emily Lawrence,1991-11-24,224-10-1991,Tennessee
504,Troy Booth,1990-12-27,485-13-5141,Tennessee
194,Stephanie Ho,1983-04-25,204-51-3656,Kansas
567,Michele Hendricks,1990-03-10,737-42-7341,Mississippi
253,Eric Harper,1986-11-12,067-02-2860,Nevada
407,Jonathan Gomez,1993-06-05,395-99-4727,South Dakota
82,Kevin Garcia,1977-11-25,206-65-4722,Nevada
429,Howard Lawson,1984-04-13,401-14-7664,Michigan
78,Stacy Robertson,1974-09-24,571-39-0248,Wyoming
167,John Beck,1985-07-27,524-33-3635,Arkansas
484,Julia Morgan,1976-03-18,767-20-1731,Wisconsin
60,Allen Leon,1975-04-06,841-36-9089,Michigan
400,James Rios,1978-03-04,383-08-3987,Idaho
34,Ralph Wells,1988-10-19,216-43-4237,Kansas
596,Megan Chavez,1991-10-08,747-91-7659,Connecticut
279,Ashley Patrick,1974-06-07,839-26-0763,Wyoming
466,Bonnie Bowen,1993-11-07,800-70-5889,Idaho
327,Andrew Lawson,1982-04-05,856-80-7313,Montana
382,Tonya Chavez,1984-04-17,786-57-5703,Montana
369,Michelle Larson,1980-03-20,532-69-3866,Florida
347,Mark Garrett,1985-09-18,402-24-4408,Wyoming
25,Chelsea Rivera,1987-06-21,085-21-0140,New Hampshire
317,Amanda Krause,1977-11-06,113-41-4744,Illinois
321,Paige Spencer,1991-09-02,363-54-8621,New York
193,Rhonda Gonzales,1976-06-07,516-64-4110,Idaho
606,Jasmine Kelly,1979-06-30,055-80-3251,Minnesota
123,Amy Sherman,1973-08-04,782-65-6029,New Jersey
566,David Arroyo,1975-04-16,732-94-9403,Florida
409,Robert Lin,1975-11-12,561-55-0121,Arizona
265,Paul Wilson,1993-06-19,391-91-9871,Iowa
490,Paul Meyers,1989-03-13,404-53-1680,Hawaii
311,Jessica Elliott,1978-06-04,772-77-1632,Ohio
537,Anthony Richmond,1989-10-05,080-33-8935,Arkansas
147,William Rivera,1975-03-08,803-02-7032,South Dakota
304,Sheri Villegas,1985-02-13,465-80-8629,Oregon
472,Kelly Hopkins,1984-10-08,890-86-6875,Hawaii
348,Darren Farrell,1991-05-24,678-95-5885,California
91,Darlene Harmon,1980-05-05,227-65-3052,West Virginia
410,Rachel Lyons,1972-08-29,296-79-0900,Maine
344,David Jacobs,1982-02-28,065-41-3682,Florida
419,Christina Weeks,1972-10-15,740-28-2028,Pennsylvania
1,Andrea Anderson,1984-11-12,818-91-5650,Connecticut
532,Jennifer Smith,1989-01-31,705-34-1748,Georgia
107,Shirley Andrews,1981-12-07,723-99-5306,Ohio
166,Adrian Rivera,1973-02-13,144-95-5638,Massachusetts
391,George Mckinney,1984-02-04,755-33-7748,Utah
67,Hailey Boyd,1980-11-17,086-77-0270,New York
447,Tiffany Harris,1983-01-12,121-83-9733,West Virginia
653,Mary Hunter,1977-11-01,177-57-6623,Texas
294,Robert Edwards,1980-04-07,096-77-5215,Georgia
416,Barbara Lambert,1979-09-07,165-52-5353,Idaho
185,Angela Armstrong,1990-03-22,269-99-2446,New York
637,Brett Ward,1979-09-27,700-71-0204,Minnesota
333,Troy Sanchez,1990-11-15,168-44-2052,Oklahoma
579,Garrett Carter,1988-09-26,652-58-7246,California
215,James Reeves,1988-01-31,770-54-1620,Indiana
152,Mary Baker,1979-07-08,533-88-0954,Michigan
301,Alexandra Bradley,1980-06-13,667-90-9390,Alabama
572,Aaron James,1974-03-25,778-13-4596,Oregon
165,Thomas Wood,1979-08-21,248-17-8269,Tennessee
639,Charlene Jackson,1989-10-28,738-45-8809,Wyoming
405,Mary Robbins,1975-12-01,407-63-9514,Florida
390,Kayla Washington,1985-10-08,541-21-6218,Connecticut
641,Kimberly Knapp,1992-11-23,727-48-1122,Colorado
51,Nicholas Brown,1988-09-18,084-56-2869,South Carolina
421,Rebecca Marshall,1974-05-06,773-33-1020,Pennsylvania
106,Mark Smith,1979-07-07,522-60-5381,North Dakota
379,Adam Harrell,1981-10-18,469-74-0742,West Virginia
76,Steve Daniels,1980-09-14,185-86-3537,Colorado
68,Victoria Potter,1988-03-25,010-68-4290,Utah
118,Kathy Preston,1990-03-06,424-27-9960,Louisiana
127,Michael Donaldson,1995-01-01,199-58-7624,California
542,Brian Bridges,1976-02-22,575-85-4546,Minnesota
181,Martha Gonzalez,1981-01-17,686-29-8342,Kansas
111,Paul Rogers,1992-01-10,746-01-6284,Montana
481,Dawn Galvan,1989-09-03,265-68-8058,Tennessee
568,Amber West,1978-01-19,557-26-7363,North Dakota
395,Christopher Guerrero,1983-01-29,852-24-4036,Wyoming
345,Stacy Brooks,1991-06-17,145-64-4661,South Carolina
438,Danielle Kaiser,1975-08-21,563-85-9764,Alabama
403,Taylor Boyle,1979-09-26,240-32-9756,Maryland
180,Donna Howard,1978-12-16,587-37-3416,California
616,Anne Rios,1974-11-26,743-73-6513,Hawaii
56,Theresa Barnes,1976-09-28,254-35-2054,Connecticut
153,Lori Tate,1977-03-08,111-26-9123,New Mexico
551,Alexandria Baker,1974-11-02,366-95-3200,Nevada
135,Stephen Hensley,1978-09-30,894-60-5372,Georgia
500,Jennifer Fischer,1983-11-19,238-14-5609,Utah
24,Pamela Robinson,1981-02-21,047-80-4275,New Mexico
81,Brendan Gonzalez,1991-08-02,611-60-9993,South Carolina
50,Richard Turner,1982-12-24,114-08-9924,Tennessee
328,Michael Robinson,1973-10-22,558-20-2355,Illinois
402,Patricia Sharp,1987-07-13,332-99-0306,Maryland
255,Elizabeth Avila,1977-03-15,361-86-8453,New Hampshire
413,Christopher Martinez,1978-12-28,575-63-8774,Connecticut
507,Isaac Woods,1984-03-20,615-91-6227,Alaska
62,Adriana Wolf,1994-10-17,589-24-1702,Oregon
150,David Pearson,1982-06-14,122-43-1781,Alabama
109,Matthew Kramer,1988-05-14,474-39-4860,Rhode Island
310,Pamela Archer,1987-10-25,775-85-2625,West Virginia
243,Charles Stout,1976-12-05,207-81-1997,Kansas
72,Daniel Boyd,1978-07-18,402-94-1220,New York
608,Jimmy Jones,1973-02-19,699-53-2030,Massachusetts
19,Rebecca Hammond,1972-02-21,617-73-2706,Louisiana
30,Emily Diaz,1986-12-04,383-57-9174,Alaska
119,Chad Wise,1988-11-10,628-30-1355,Colorado
162,Todd Duran,1976-01-14,297-29-1832,Kentucky
199,Brian Mclaughlin,1987-09-21,719-81-2876,Pennsylvania
187,Katherine Rogers,1988-05-13,167-41-9500,Maine
102,Joseph Adams,1979-01-18,409-65-7778,Wisconsin
385,David Lowery,1987-10-21,585-13-7963,Utah
626,Janice Young,1988-07-07,891-32-4863,Washington
528,Anna Matthews,1991-02-09,500-35-4474,Tennessee
31,Katie Garcia,1983-03-22,702-04-8462,Alaska
43,Maria Estrada,1990-04-30,549-32-8108,Louisiana
169,Ashley Smith,1983-07-16,750-52-8720,Texas
204,Amy Wright,1991-10-15,764-48-8641,California
494,Heather Scott,1982-08-20,295-89-0361,New Hampshire
233,John Anderson,1973-05-30,548-98-6681,New York
638,John Anderson,1983-01-07,653-01-7935,Utah
57,Kimberly Harris,1988-10-01,807-73-5459,Iowa
648,Christopher Smith,1976-11-23,878-46-2521,Wisconsin
192,Daniel Singh,1980-12-25,478-27-7521,Virginia
73,Miranda Nguyen,1981-08-12,166-93-2585,Maine
477,Gregory Simpson,1990-07-09,086-18-9365,Colorado
411,Daniel Brown,1984-04-19,808-28-6526,New Mexico
630,Susan Thompson,1985-05-17,518-54-6074,Tennessee
600,Rick Johns,1984-07-30,537-62-7121,Nevada
634,Sean Calhoun,1978-07-31,799-26-2261,South Dakota
296,Alan Holden,1994-11-06,319-01-6916,Pennsylvania
154,Robin Silva,1987-07-14,517-18-0453,Alaska
527,Nicole Conrad,1985-06-02,370-18-6985,South Dakota
635,Deanna Russell,1972-07-29,528-47-9236,Maryland
229,Joshua Bailey,1986-07-20,599-22-4031,West Virginia
389,Daniel Patrick,1972-10-15,498-64-8777,Georgia
220,William Smith,1990-06-04,084-38-0654,Arkansas
454,Kristin Grant,1980-08-23,753-79-9693,West Virginia
488,Kimberly Velasquez,1989-01-10,076-78-4229,Georgia
41,Michael Dalton,1994-03-08,054-72-2101,Wisconsin
522,Jason Shaw,1985-11-01,497-85-4765,Kentucky
269,Jonathon Olson,1985-07-08,858-76-7767,South Carolina
35,Andrea Perry,1986-02-01,154-16-8897,Colorado
10,Anthony Nguyen,1986-10-09,623-09-8472,Wisconsin
397,Anthony Christensen,1983-05-13,207-71-8703,Ohio
45,Paul Murphy,1975-07-18,241-75-9454,New Jersey
210,Susan Stewart,1989-04-23,459-66-2712,Georgia
197,Scott Warren,1985-06-24,756-57-3723,Ohio
354,Jennifer Avery,1987-08-08,082-59-5062,Louisiana
552,Alexander Vaughan,1988-08-22,866-33-8562,Michigan
414,Laura Parker,1973-12-05,729-62-6879,Colorado
134,Derek Harrington,1990-09-15,535-01-2836,Arkansas
11,Daniel Wells,1994-08-27,839-35-7268,California
222,Kelly Phillips,1987-11-05,192-12-1324,Michigan
442,Lauren Bennett,1985-06-05,767-19-4874,Iowa
633,Aaron Wolf,1978-04-09,317-42-1149,Wyoming
361,Julia Wright,1980-09-04,542-41-6702,Colorado
205,Cheryl Dennis,1986-06-16,026-01-0712,Texas
18,Donna Lopez,1985-02-22,479-38-5711,Delaware
459,Matthew Gibbs,1984-06-12,116-40-9698,Idaho
564,Nancy Mitchell,1988-02-02,189-86-9365,Georgia
138,Ashley Bullock,1983-07-23,889-76-5394,Mississippi
356,Andrew Moore,1982-01-03,477-15-5178,Idaho
479,Joseph Martinez,1973-10-05,768-26-9409,New Hampshire
100,Yvette Rodriguez,1985-09-11,763-31-8123,Oregon
451,Carrie Barber,1977-11-09,003-45-3083,Louisiana
432,Ashley Sherman,1984-10-01,620-89-1501,Nebraska
71,Craig Garcia,1994-08-18,455-61-3695,Pennsylvania
463,Jerome Brown,1992-07-10,409-31-9456,Maryland
308,Kevin Beck,1981-03-29,159-41-7304,Tennessee
591,Travis Hansen,1981-07-28,475-71-6746,Delaware
214,Rodney Cook,1994-12-15,238-96-6232,Rhode Island
290,Theresa Brown,1993-02-20,804-19-3478,Minnesota
8,Wayne Mercer,1989-09-21,701-03-7254,Massachusetts
182,Mary Lee,1982-04-12,883-57-7361,Ohio
534,Matthew Martin,1993-07-12,338-08-7803,Idaho
511,Lee Weber,1988-12-03,198-89-9830,California
32,James Wilson,1977-07-23,621-18-7343,Oregon
289,Angela Clark,1988-04-20,281-90-3392,Minnesota
643,Allen Flynn,1994-07-25,628-97-7573,New Hampshire
234,Darrell Coleman,1992-08-24,812-42-4198,Wisconsin
618,Patrick Wells,1979-08-03,466-38-3209,Mississippi
246,Tyler Beck,1986-10-20,129-76-1385,Hawaii
546,Michelle Jenkins,1977-11-29,858-22-8254,Nebraska
455,Scott Miller,1991-09-27,209-56-3580,Wyoming
341,Maria Mcmillan,1973-09-07,817-55-3730,Texas
252,Amy Waller,1980-10-01,603-54-8763,Massachusetts
351,Jacob Thomas,1976-03-31,809-33-8896,Mississippi
493,Amanda Jones,1993-07-31,687-39-0691,Minnesota
599,Edward Padilla,1993-10-09,719-25-5222,Pennsylvania
315,Debra Best,1973-02-20,082-24-3320,North Dakota
577,Gregory Roberts,1986-01-27,186-68-4496,Indiana
415,Suzanne Wheeler,1985-05-19,456-41-2982,Wisconsin
303,Ann Lewis,1976-01-14,298-83-0619,Montana
478,Michelle Peterson,1984-06-25,177-22-2154,Massachusetts
313,Adam Thomas,1982-12-30,057-11-1297,Virginia
4,Donna Owens,1987-09-26,084-17-6696,Alabama
249,Pamela Lyons,1972-09-27,867-13-3318,Arkansas
649,Victor Lopez,1987-10-26,141-12-3964,Nevada
565,Matthew Miller,1979-04-07,330-94-3517,Colorado
513,Kevin Foster,1985-10-18,422-99-5090,Wisconsin
516,Alyssa Stokes,1973-04-01,084-21-2432,Ohio
545,Mark Saunders,1973-08-23,618-38-2640,Vermont
38,Michael Chapman,1977-03-13,293-49-6874,Oregon
309,Cole Farrell,1993-01-29,547-17-7973,Indiana
578,Michael Estrada,1994-10-12,571-34-2448,Ohio
178,Shaun Martinez,1982-12-11,152-98-5793,North Carolina
359,Victoria Moon,1976-01-06,830-03-8604,Arizona
278,Brian Peters,1982-05-07,543-13-3701,Hawaii
292,Jose Gonzalez,1992-06-01,608-36-9797,Maryland
87,John Paul,1973-11-20,315-98-7180,Kentucky
286,Stephanie Smith,1978-04-26,259-17-1286,New Hampshire
221,Lisa Wilson,1993-11-09,751-41-6950,Arizona
524,Cody Duran,1973-01-15,653-33-6706,New Mexico
453,Ann Johnson,1981-06-01,051-21-9046,Nebraska
468,Paula Hernandez,1975-10-12,259-58-2951,California
444,Patrick Barber,1991-07-21,613-82-9891,New York
350,Dennis Alvarado,1973-11-27,632-89-4378,Montana
462,David Peterson,1973-06-27,884-25-7312,Louisiana
66,Tina Williams,1987-11-04,045-10-7775,Oregon
495,Bridget Koch,1973-02-23,618-56-9714,Wyoming
586,Adrian Hernandez,1993-09-08,433-29-5101,Nebraska
457,Andrea Potter,1983-12-26,034-01-6384,New Hampshire
392,David Williams,1990-07-07,802-19-6350,Massachusetts
202,Katherine Wright,1987-05-10,665-34-3109,Arkansas
467,Kevin Taylor,1979-04-19,273-85-2293,New Hampshire
627,Latoya Mitchell,1991-03-15,057-81-3607,Maine
367,Tricia Smith,1992-01-24,072-19-7866,California
244,David Miles,1993-11-26,276-83-2657,Michigan
620,Gina Hoffman,1990-03-20,723-22-4213,Utah
642,Tamara Whitney,1975-09-21,871-91-9208,Missouri
427,John Garcia,1987-04-14,044-94-3993,Texas
539,Craig Nunez,1972-06-13,543-92-6566,Delaware
98,Desiree Ross,1981-07-07,246-73-2608,Mississippi
324,Samantha Ramirez,1981-08-11,851-36-7086,Maryland
589,David Patton,1978-11-19,569-40-9705,Pennsylvania
339,Caroline Lopez,1981-08-09,141-88-1325,Oklahoma
645,Karen Malone,1985-09-03,843-57-5442,Colorado
355,Daniel Wright,1989-12-31,873-89-3803,Florida
541,Brent Miller,1978-01-14,590-87-9692,Hawaii
360,Mitchell Meyer,1991-08-31,368-27-7666,Rhode Island
39,Annette Flores,1977-04-19,537-24-3196,Nebraska
305,Wendy Hendrix,1983-08-19,001-37-6634,Wyoming
474,Alexis Cross,1983-08-11,552-98-3694,Minnesota
571,Jeffrey Jones,1981-06-27,852-86-1822,South Dakota
372,Jessica Walsh,1976-06-01,846-99-2907,Rhode Island
559,Sherry Henderson,1991-02-15,217-07-3768,Florida
521,Jennifer Johnson,1978-02-17,283-79-3102,Oklahoma
583,Scott Ellison,1977-03-31,602-12-8653,New Hampshire
329,Denise Baldwin,1992-04-06,279-07-7350,Alabama
201,Rebecca James,1980-12-04,006-26-1514,Massachusetts
276,Sean Gonzales,1981-08-11,068-74-8838,Missouri
592,Mary Chavez,1990-04-27,809-22-2834,Pennsylvania
124,Ralph Martinez,1980-02-26,824-09-4024,Washington
133,Thomas Stone,1973-03-29,220-15-8227,Delaware
314,Christopher Anderson,1974-07-01,726-98-1835,North Carolina
562,Allison Garcia,1983-02-08,441-64-0105,Louisiana
125,Charles Hall,1982-09-15,691-66-7617,Pennsylvania
625,Lawrence Roach,1991-04-03,032-09-2080,Kentucky
312,Christopher Dougherty,1978-03-29,344-71-0986,Alabama
90,William Small,1990-08-05,454-32-0642,Colorado
236,Samuel May,1988-03-30,091-15-0970,New Jersey
601,Brian Lopez,1990-02-13,727-03-7558,Delaware
326,Amanda Clark,1991-07-23,601-64-5043,Minnesota
264,Cody Taylor,1978-11-13,769-71-3700,South Dakota
248,Sherry Love,1975-03-24,166-29-8685,Oregon
485,Christine Stone,1978-11-07,727-79-6503,Kansas
54,Kristy Diaz,1988-03-26,779-76-1032,Iowa
2,Amy Long,1982-07-19,791-29-7292,Florida
298,Haley Myers,1985-03-20,357-51-0757,Maryland
99,Michael Holden,1975-07-23,637-01-7951,Indiana
186,Kelly Ferrell,1982-01-21,017-64-2299,New Hampshire
593,Rachel Valdez,1985-05-21,288-96-0852,Utah
557,Kristine Roberson,1981-03-18,285-17-0956,Minnesota
375,Vincent Watson,1974-12-15,626-71-8997,Rhode Island
460,Elizabeth Bailey,1979-07-15,304-36-7230,Michigan
496,Mark Mcmillan,1976-07-08,737-51-2503,Michigan
487,Sheri Long,1978-06-06,711-90-5166,Ohio
469,Daniel Mccall,1987-07-12,171-75-5314,Nebraska
340,Dawn Malone,1979-04-19,501-21-2070,Tennessee
363,Evan Romero,1994-08-25,842-10-3334,New Mexico
108,Paul Adams,1992-04-19,338-94-5765,West Virginia
357,Tracy Holt,1988-10-20,558-78-1413,Alaska
293,Charles Wheeler,1972-02-11,184-38-5781,California
604,Ashley Harris,1993-08-09,105-86-7070,Illinois
7,Roberto Schmidt,1994-02-07,731-10-1763,Alabama
94,Margaret Barton,1975-10-10,381-60-0973,Idaho
227,Michelle Diaz,1993-09-25,407-79-4889,Idaho
486,Mike Duncan,1988-12-15,270-03-8115,Maryland
613,Alexandra Thomas,1994-01-12,085-40-6760,South Dakota
603,Mark Murillo,1976-09-22,069-17-9915,Michigan
332,Carol Dyer,1989-03-12,600-52-5545,Hawaii
587,Daniel Williams,1989-11-17,533-29-9146,New Hampshire
602,Sandra Suarez,1980-09-20,769-90-9548,Georgia
398,Sarah Hamilton,1976-07-20,887-03-3104,North Dakota
148,Sydney Floyd,1981-03-31,539-71-0722,Connecticut
223,Jonathan Hall,1978-07-01,695-47-6672,Nebraska
574,Jennifer Kim,1976-10-03,313-36-9504,Minnesota
588,Kenneth Sanchez,1980-10-30,214-25-8921,California
157,Joseph Carroll,1975-05-09,370-40-5984,North Dakota
175,Jennifer Arnold,1976-10-18,427-30-4368,Alabama
473,David Le,1976-08-31,010-02-5444,Michigan
29,Jeffrey Clark,1978-06-28,635-21-0316,Missouri
334,Jeffery Reed,1985-07-19,080-44-6338,New Jersey
465,Laura Kim,1974-07-26,895-19-3606,Pennsylvania
92,Derek Obrien,1990-06-29,410-87-6123,New Hampshire
470,Brooke Bishop,1980-12-18,412-08-4107,California
128,Peter Miles,1976-10-26,414-73-3367,Washington
77,Alex Owen,1987-10-07,416-16-9252,Alabama
530,Michael Fowler,1990-08-28,645-83-3995,Tennessee
270,Katherine Rose,1976-01-19,441-58-0446,Minnesota
251,Daniel Waller,1974-04-23,875-21-0011,Kentucky
277,Ronald Johnson,1973-09-19,114-71-8871,Delaware
346,Austin Gutierrez,1979-06-25,205-28-0203,Vermont
238,Brandon Chang,1984-05-14,341-89-6687,Alabama
143,Alexander Murphy,1984-05-05,775-04-0664,Utah
461,Stephanie Mendoza,1977-03-22,329-01-8308,Vermont
5,Gregory Moore,1982-02-10,870-62-6226,Massachusetts
117,Jonathan Mendoza,1989-12-30,693-61-0262,Maryland
396,Michelle Phillips,1988-09-17,844-26-2345,Oklahoma
517,Justin Morgan,1976-03-17,774-57-5133,Michigan
228,Michael Hubbard,1978-09-09,620-09-8972,Connecticut
576,Travis Little,1992-05-14,731-12-6995,Wyoming
482,Susan Kennedy,1988-12-19,617-76-4558,Maine
611,Emily Mcgrath,1973-11-10,813-34-7640,Colorado
288,Sandra Griffin,1988-11-13,499-56-6533,Nevada
322,Jessica Sullivan,1990-01-07,889-12-2665,Wyoming
93,Timothy Mendoza,1980-06-09,241-02-2367,New Mexico
631,Amanda Pearson,1979-08-15,422-17-9832,Tennessee
95,Jeffery Burnett,1984-07-28,704-38-4493,Kansas
225,Brian Williams,1986-01-12,864-23-5701,Montana
386,Randy Dorsey,1974-05-09,425-80-0360,Missouri
272,Duane Williams,1973-10-14,433-06-8818,Nevada
614,Colleen Beasley,1977-08-12,108-95-3286,Massachusetts
262,Brian Jackson,1985-12-21,265-23-9597,Pennsylvania
110,Cynthia Price,1991-10-15,883-48-6184,South Dakota
501,Donald Carter,1983-07-16,441-92-5922,Hawaii
65,Lisa Schmitt,1976-04-23,124-27-5980,Tennessee
458,Dustin Nichols,1977-06-07,515-40-9015,Nebraska
224,Jay Brown,1980-04-24,270-72-8736,Texas
160,Beth Lynch,1984-02-13,746-76-0814,Alaska
259,Mary Mitchell,1982-01-20,789-28-3602,Texas
547,Joshua Rush,1986-08-05,611-35-2710,Georgia
358,Jillian David,1973-04-11,737-64-4462,Hawaii
652,Anthony Delgado,1994-09-19,004-64-7837,Florida
49,Meghan Wilson,1988-05-18,367-27-4722,Hawaii
437,Andrea Montgomery,1991-12-03,815-88-6315,Ohio
536,Megan Gray,1972-10-12,778-23-4006,New York
636,Sarah Brooks,1991-06-27,311-24-6948,Arkansas
330,Kaylee Clark,1992-05-29,790-16-0753,Wisconsin
538,Joseph Martin,1992-04-13,030-49-5396,Arkansas
168,Donna Rose,1989-04-20,719-40-1960,Tennessee
480,Brandi Sawyer,1979-07-13,008-58-9334,Rhode Island
543,James Torres,1986-01-19,626-84-5026,Delaware
506,Jonathan Malone,1984-04-14,564-67-9942,Minnesota
80,Christine Williams,1974-08-15,527-98-1974,Minnesota
342,Christopher Young,1988-12-02,326-55-1343,Nebraska
364,David Turner,1973-02-13,087-32-7108,Illinois
64,Gregory Estes,1989-10-04,075-74-9235,Kansas
156,Shannon Vaughn,1992-12-27,808-91-2444,Arkansas
285,James Mclaughlin,1981-01-21,283-38-1088,North Carolina
79,Michael Brown,1986-01-13,132-02-9682,Ohio
170,Jennifer Crawford,1986-07-21,229-11-5861,Florida
561,Michelle Carr,1978-06-22,823-25-2759,Connecticut
617,Andrew Love,1991-05-27,648-67-9696,Ohio
515,Anna Bennett,1977-06-20,726-51-6909,Tennessee
644,William Watts,1989-10-12,304-40-6883,Minnesota
450,Cynthia Williams,1978-12-23,044-54-5994,New York
216,Bruce Miles,1982-01-21,573-82-0969,Iowa
88,Amanda Wilson,1972-05-23,724-19-0767,Nebraska
130,Joshua Riley,1983-11-08,854-49-4874,Indiana
408,Carla Torres,1987-02-23,370-68-7599,Connecticut
105,Mark Green,1977-06-14,198-33-6893,Arizona
580,Stephanie Goodwin,1986-02-25,344-89-5702,North Carolina
388,Cameron Allen,1986-01-02,136-19-8341,Idaho
316,Harold Li,1983-05-11,283-61-2966,Georgia
196,Sara Curry,1984-06-05,519-38-1678,Idaho
366,Caroline Wyatt,1979-11-12,445-50-7063,New York
331,Nicole Perez,1982-09-28,462-42-1455,Montana
63,Jacqueline Garcia,1991-01-31,295-50-8953,North Carolina
651,Alexander Wright,1979-04-18,756-79-7263,Minnesota
497,Heather Farrell,1978-01-11,310-06-0338,Massachusetts
14,Joseph Fernandez,1978-06-01,426-42-4971,Illinois
52,Timothy Chandler,1978-03-26,582-22-3897,New Mexico
456,Gregory Jackson,1973-06-06,534-49-0058,Wyoming
412,Thomas Patterson,1977-05-06,461-05-4561,Virginia
283,Timothy Suarez,1977-01-12,297-27-3073,Wisconsin
174,Jennifer Jensen,1991-03-09,887-11-4293,Georgia
